date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,
2020/3/6,45,46.05,45.3,44.8,77752.42,-0.49,-1.07,44.368,44.074,44.819,103617.76,105758.14,87070.85,1.12,105
2020/3/9,44.62,44.63,43.67,43,99554.98,-1.63,-3.6,44.442,43.921,44.747,101526.94,105486.64,88812.1,1.43,104
2020/3/10,43.01,44.7,44.46,43,78369.04,0.79,1.81,44.694,43.943,44.692,99076.49,104077.94,88986.95,1.13,103
2020/3/11,44.45,45.5,44.72,44.3,80811.72,0.26,0.58,44.788,44.113,44.642,97785.25,99195.71,90728.17,1.16,102
2020/3/12,44.65,44.65,43.68,43.31,58648.13,-1.04,-2.33,44.366,44.107,44.577,79027.26,97874.51,91486.41,0.84,101
2020/3/13,41.02,43.3,43,41.01,53067.68,-0.68,-1.56,43.906,44.137,44.477,74090.31,88854.03,92189.13,0.76,100
2020/3/16,43.06,43.27,40.1,39.99,80239.35,-2.9,-6.74,43.192,43.817,44.207,70227.18,85877.06,93155.33,1.15,99
2020/3/17,39.88,40.74,38.25,37.93,108840.24,-1.85,-4.61,41.95,43.322,43.844,76321.42,87698.96,95890.83,1.56,98
2020/3/18,38.6,39.22,38.11,38.11,86973.09,-0.14,-0.37,40.628,42.708,43.473,77553.7,87669.47,95877.81,1.25,97
2020/3/19,38.11,38.24,37.68,36.4,89213.42,-0.43,-1.13,39.428,41.897,43.032,83666.76,81347.01,93693.32,1.28,96
2020/3/20,37.68,39.2,39.2,37.68,69403.03,1.52,4.03,38.668,41.287,42.681,86933.83,80512.07,93135.1,1,95
2020/3/23,38.16,39.95,39.34,38,73678.14,0.14,0.36,38.516,40.854,42.388,85621.58,77924.38,91705.51,1.06,94
2020/3/24,41.3,43.27,43.27,41.01,205310.2,3.93,9.99,39.52,40.735,42.339,104915.58,90618.5,97348.22,2.95,93
2020/3/25,44.48,45.28,44.88,43.2,156318.81,1.61,3.72,40.874,40.751,42.432,118784.72,98169.21,98682.46,2.25,92
2020/3/26,44.48,45.38,44.11,43.9,88249.33,-0.77,-1.72,42.16,40.794,42.451,118591.9,101129.33,99501.92,1.27,91
2020/3/27,44.5,45.7,44.45,44.25,86525.43,0.34,0.77,43.21,40.939,42.538,122016.38,104475.1,96664.57,1.24,90
2020/3/30,44.34,46.66,46.1,43.75,136794.42,1.65,3.71,44.562,41.539,42.678,134639.64,110130.61,98003.84,1.97,89
2020/3/31,46.05,46.48,45.71,45.36,73561.51,-0.39,-0.85,45.05,42.285,42.804,108289.9,106602.74,97150.85,1.06,88
2020/4/1,45.72,46.2,45.35,44.57,60648.29,-0.36,-0.79,45.144,43.009,42.859,89155.8,103970.26,95819.87,0.87,87
2020/4/2,44.84,45.01,45.01,43.96,68053.3,-0.34,-0.75,45.324,43.742,42.82,85116.59,101854.25,91600.63,0.98,86
2020/4/3,44.81,46.18,45.37,44.78,72310.79,0.36,0.8,45.508,44.359,42.823,82273.66,102145.02,91328.55,1.04,85
2020/4/7,45.5,46.95,46.54,45.5,73037.16,1.17,2.58,45.596,45.079,42.967,69522.21,102080.92,90002.65,1.05,84
2020/4/8,46.26,46.78,45.81,45.62,40282.61,-0.73,-1.57,45.616,45.333,43.034,62866.43,85578.17,88098.33,0.58,83
2020/4/9,46.11,46.89,46.72,45.41,62921.24,0.91,1.99,45.89,45.517,43.134,63321.02,76238.41,87203.81,0.9,82
2020/4/10,46.74,48.63,47.05,46.5,100537.22,0.33,0.71,46.298,45.811,43.303,69817.8,77467.2,89298.26,1.44,81
2020/4/13,46.93,48.8,47.9,46.2,83308.47,0.85,1.81,46.804,46.156,43.548,72017.34,77145.5,90810.3,1.2,80
2020/4/14,47.8,47.84,47.25,46.8,65357.53,-0.65,-1.36,46.946,46.271,43.905,70481.41,70001.81,90066.21,0.94,79
2020/4/15,47.24,47.66,46.13,46.11,56091.71,-1.12,-2.37,47.01,46.313,44.299,73643.23,68254.83,87428.79,0.81,78
2020/4/16,45.98,46.75,46.55,45,57872.89,0.42,0.91,46.976,46.433,44.721,72633.56,67977.29,85973.78,0.83,77
2020/4/17,46.79,47.3,46.55,45.92,55416.83,0,0,46.876,46.587,45.165,63609.49,66713.65,84283.95,0.8,76
2020/4/20,46.83,47.01,46.89,45.92,51554.96,0.34,0.73,46.674,46.739,45.549,57258.78,64638.06,83391.54,0.74,75
2020/4/21,46.67,46.85,45.67,45.3,41252.87,-1.22,-2.6,46.358,46.652,45.866,52437.85,61459.63,81770.28,0.59,74
2020/4/22,45.37,46.93,46.79,45.12,51841.94,1.12,2.45,46.49,46.75,46.042,51587.9,62615.57,74096.87,0.74,73
2020/4/23,46.79,47.76,47.28,46.72,49206.4,0.49,1.05,46.636,46.806,46.162,49854.6,61244.08,68741.25,0.71,72
